asset_name,asset_type_name,model_number,serial_number,asset_tag,qr_code,item_value,item_value_currency_code,purchase_cost,purchase_cost_currency_code,purchase_type_name,purchase_order_number,other_purchase_details,supplier_data,salvage_value,warranty,warranty_condition_type_name,warranty_expiry_date,warranty_usage_name,warranty_usage_value,insurance_number,insurance_expiry_date,expected_life_time,expected_life_time_unit_name,depreciation_value,depreciation_method_name,depreciation_start_date,decline_rate,total_estimated_units,manufacturer,responsible_person_name,department_name,latitude,longitude,received_condition_id,asset_category_name,asset_sub_category_name,asset_tags,asset_requisition_item_id,asset_requisition_id,procurement_id
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0055,AT-00055,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0056,AT-00056,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0057,AT-00057,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0058,AT-00058,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0059,AT-00059,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0060,AT-00060,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0061,AT-00061,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0062,AT-00062,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0063,AT-00063,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0064,AT-00064,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0065,AT-00065,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0066,AT-00066,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0067,AT-00067,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0068,AT-00068,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0069,AT-00069,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0070,AT-00070,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0071,AT-00071,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0072,AT-00072,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0073,AT-00073,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0074,AT-00074,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0075,AT-00075,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0076,AT-00076,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0077,AT-00077,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0078,AT-00078,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0079,AT-00079,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0080,AT-00080,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0081,AT-00081,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0082,AT-00082,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0083,AT-00083,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0084,AT-00084,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0085,AT-00085,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0086,AT-00086,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0087,AT-00087,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0088,AT-00088,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0089,AT-00089,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0090,AT-00090,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0091,AT-00091,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0092,AT-00092,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Apple MacBook Pro,Current assets,APPLE-MACBOOK-PRO,SN-0093,AT-00093,QR004,2500,USD,2400,USD,Purchase,PO-2025-004,Design team laptop for creative work,"{""name"":""Apple Business"",""email"":""business@apple.com"",""type"":""Company""}",250,1 year,Time based,2026-10-10,Hours,8760,INS004,2025-10-10,3,Year,800,Straightline,2025-10-10,33.33,900,Apple Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Design",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0094,AT-00094,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0095,AT-00095,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
Lenovo ThinkPad,Operating assets,LENOVO-THINKPAD-X1,SN-0096,AT-00096,QR003,1800,USD,1700,USD,Purchase,PO-2025-003,Executive laptop for management,"{""name"":""Lenovo Enterprise"",""email"":""business@lenovo.com"",""type"":""Company""}",180,3 years,Time based,2028-10-10,Hours,8760,INS003,2027-10-10,5,Year,360,Straightline,2025-10-10,20,1200,Lenovo,ffd,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Executive",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0097,AT-00097,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
HP EliteBook Laptop,Tangible assets,HP-ELITEBOOK-850-G8,SN-0098,AT-00098,QR001,1500,USD,1400,USD,Purchase,PO-2025-001,Purchased for IT department,"{""name"":""Tech Solutions Inc"",""email"":""contact@techsolutions.com"",""type"":""Company""}",150,3 years,Time based,2028-10-10,Hours,8760,INS001,2027-10-10,5,Year,300,Straightline,2025-10-10,20,1000,HP Inc.,Chamod Randeni,Negombo test,6.9271,79.8612,1,Electronics,Laptops,"IT,Laptop,Portable",,,
Cisco Network Switch,Non-operating assets,CISCO-SWITCH-2960,SN-0099,AT-00099,QR005,800,USD,750,USD,Purchase,PO-2025-005,Network switch for datacenter,"{""name"":""Cisco Systems"",""email"":""sales@cisco.com"",""type"":""Company""}",80,5 years,Time based,2030-10-10,Hours,43800,INS005,2029-10-10,10,Year,75,Straightline,2025-10-10,10,2000,Cisco Systems,Chamod Randeni,Negombo test,6.9271,79.8612,1,Network Equipment,Switches,"Network,Switch,Infrastructure",,,
Dell OptiPlex Desktop,Fixed assets,DELL-OPTIPLEX-7090,SN-0100,AT-00100,QR002,1200,USD,1100,USD,Purchase,PO-2025-002,Desktop for accounting department,"{""name"":""Dell Direct"",""email"":""sales@dell.com"",""type"":""Company""}",120,2 years,Time based,2027-10-10,Hours,8760,INS002,2026-10-10,4,Year,300,Straightline,2025-10-10,25,800,Dell Inc.,ffd,Negombo test,6.9271,79.8612,1,Electronics,Desktops,"IT,Desktop,Office",,,
